Elapsed Time (ms),Timestamp,Ambient Temperature,Ambient Humidity,Heart Rate (bpm),SpO2 (%),HRV SDNN (ms),Lung Volume (L),O2 (%),CO2 (%),RER (ΔCO₂/ΔO₂),Pressure BMP A (Pa),Pressure BMP B (Pa),Pressure BMP C Ambient (Pa),Pressure Diff A-C (Pa),Pressure Diff B-C (Pa),Temperature BMP A (°C),Temperature BMP B (°C),Temperature BMP C (°C),IMU X (m/s²),IMU Y (m/s²),IMU Z (m/s²),BMI Gyro X (°/s),BMI Gyro Y (°/s),BMI Gyro Z (°/s),PPG IR,PPG Red,Battery State (%)
17505,2026-02-02T17:27:58.779Z,28.161,59.887,55,98,,4.5,18.728,0,0.7,101132.188,100931.141,100809.719,322.469,121.422,28.095,27.926,32.716,0.093,-0.159,0.959,-21,53,-2,73841,76603,0
17594,2026-02-02T17:27:58.868Z,28.14,57.263,55,98,,4.5,18.728,0,0.7,101139.781,100932.188,100808.984,330.797,123.203,28.1,27.921,32.714,0.112,-0.18,0.952,7,-12,34,67792,71135,0
17685,2026-02-02T17:27:58.959Z,28.14,55.234,55,98,,4.5,18.728,0,0.7,101154.563,100932.359,100809.625,344.938,122.734,28.097,27.925,32.712,0.103,-0.167,0.96,-33,33,-1,67792,71135,0
17821,2026-02-02T17:27:59.095Z,28.151,55.234,55,98,,4.5,18.728,0,0.7,101149.594,100932.984,100809.109,340.484,123.875,28.091,27.927,32.719,0.113,-0.195,0.951,47,32,87,67792,71135,0
17911,2026-02-02T17:27:59.185Z,28.151,53.631,55,98,,4.5,18.76,0,0.7,101033.844,100932,100809.797,224.047,122.203,28.098,27.925,32.721,0.098,-0.179,0.965,42,29,108,65399,69042,0
17999,2026-02-02T17:27:59.273Z,28.151,55.05,55,98,,4.5,18.76,0,0.7,100977.047,100929.938,100809.938,167.109,120,28.099,27.932,32.72,0.114,-0.174,0.958,132,17,25,65399,69042,0
18090,2026-02-02T17:27:59.364Z,28.161,55.05,55,98,,4.5,18.76,0,0.7,100929.063,100927.141,100809.391,119.672,117.75,28.09,27.924,32.72,0.099,-0.152,0.961,28,-41,96,82509,84227,0
18225,2026-02-02T17:27:59.499Z,28.161,57.385,55,98,,4.5,18.792,0,0.7,100821.234,100924.75,100809.391,11.844,115.359,28.099,27.924,32.724,0.107,-0.188,0.967,19,-62,-50,82509,84227,0
18320,2026-02-02T17:27:59.594Z,28.204,57.385,50,97,,4.5,18.823,0,0.7,100767.422,100923.875,100809.672,-42.25,114.203,28.1,27.926,32.728,0.126,-0.151,0.946,-21,-11,-49,82509,84227,0
18405,2026-02-02T17:27:59.679Z,28.204,62.024,50,97,,4.5,18.811,0,0.7,100746.063,100922.859,100809.766,-63.703,113.094,28.1,27.93,32.727,0.11,-0.169,0.962,21,27,-30,88579,85524,0
18495,2026-02-02T17:27:59.769Z,28.204,64.992,50,97,,4.5,18.823,0,0.7,100720.969,100921.688,100809.328,-88.359,112.359,28.098,27.929,32.728,0.119,-0.141,0.949,41,-2,-77,88579,85524,0
18631,2026-02-02T17:27:59.905Z,28.215,64.992,50,97,,4.5,18.823,0,0.7,100687.063,100919.453,100809.266,-122.203,110.188,28.111,27.932,32.73,0.094,-0.189,0.988,-92,3,28,89415,85301,0
18676,2026-02-02T17:27:59.950Z,28.226,67.425,50,97,,4.5,18.823,0,0.7,100645.188,100918.703,100809.5,-164.313,109.203,28.106,27.929,32.734,0.133,-0.147,0.945,-30,41,-26,89415,85301,0
18766,2026-02-02T17:28:00.040Z,28.226,69.859,50,97,,4.5,18.855,0,0.7,100637.203,100916.266,100809.313,-172.109,106.953,28.108,27.931,32.734,0.067,-0.188,1.011,137,-38,47,89415,85301,0
18901,2026-02-02T17:28:00.175Z,28.247,69.859,50,97,,4.5,18.887,0,0.7,100626.547,100914.469,100809.141,-182.594,105.328,28.115,27.931,32.741,0.124,-0.162,0.96,68,54,9,88158,85133,0
18991,2026-02-02T17:28:00.265Z,28.247,71.789,50,97,,4.5,18.855,0,0.7,100613.141,100911.734,100809.25,-196.109,102.484,28.112,27.929,32.738,0.082,-0.168,0.985,-18,17,-66,88158,85133,0
19080,2026-02-02T17:28:00.354Z,28.215,71.789,50,97,,4.5,18.855,0,0.7,100613.469,100910.625,100809.438,-195.969,101.188,28.115,27.932,32.74,0.126,-0.156,0.95,-36,68,-7,85368,83441,0
19215,2026-02-02T17:28:00.489Z,28.204,73.391,50,97,,4.5,18.855,0,0.7,100610.156,100909.953,100809.219,-199.063,100.734,28.118,27.932,32.745,0.095,-0.162,0.978,118,-15,50,85368,83441,0
19351,2026-02-02T17:28:00.625Z,28.204,74.589,50,97,,4.5,18.855,0,0.7,100610.297,100907.75,100809.188,-198.891,98.563,28.11,27.933,32.746,0.117,-0.175,0.951,-130,56,-79,85368,83441,0
19399,2026-02-02T17:28:00.673Z,28.226,74.589,50,97,,4.5,18.823,0,0.7,100619.094,100907.469,100808.875,-189.781,98.594,28.117,27.935,32.748,0.116,-0.15,0.958,209,-152,178,83633,82262,0
19532,2026-02-02T17:28:00.806Z,28.215,75.543,50,97,,4.5,18.823,0,0.7,100629.25,100906.953,100809.109,-179.859,97.844,28.117,27.935,32.747,0.114,-0.15,0.958,-225,80,-130,83633,82262,0
19575,2026-02-02T17:28:00.849Z,28.215,75.543,50,97,,4.5,18.823,0,0.7,100670.594,100907.672,100809.359,-138.766,98.313,28.118,27.946,32.754,0.091,-0.164,0.968,80,-10,126,84982,83386,0
19667,2026-02-02T17:28:00.941Z,28.226,75.871,50,97,,4.5,18.823,0,0.7,100729.188,100911.563,100808.875,-79.688,102.688,28.114,27.931,32.758,0.112,-0.177,0.965,-87,60,48,83771,81978,0
19841,2026-02-02T17:28:01.115Z,28.226,73.575,50,97,,4.5,18.792,0,0.7,100784.563,100915.234,100809.109,-24.547,106.125,28.122,27.929,32.759,0.094,-0.177,0.976,0,46,121,83771,81978,0
19892,2026-02-02T17:28:01.166Z,28.194,73.575,50,97,,4.5,18.76,0,0.7,100900.297,100918.719,100808.516,91.781,110.203,28.114,27.937,32.759,0.108,-0.159,0.967,-109,75,-54,78225,80112,0
20025,2026-02-02T17:28:01.299Z,28.183,69.424,50,97,,4.5,18.76,0,0.7,101004.094,100922.031,100808.391,195.703,113.641,28.106,27.933,32.755,0.094,-0.167,0.967,-70,-16,12,78225,80112,0
20089,2026-02-02T17:28:01.363Z,28.183,69.424,50,97,,4.5,18.76,0,0.7,101050.203,100924.969,100808.844,241.359,116.125,28.105,27.937,32.761,0.115,-0.209,0.955,8,-96,-3,75752,79300,0
20205,2026-02-02T17:28:01.479Z,28.151,64.389,50,97,,4.5,18.696,0,0.7,101095.844,100926.969,100808.828,287.016,118.141,28.11,27.936,32.764,0.113,-0.096,0.941,145,93,110,75752,79300,0
20294,2026-02-02T17:28:01.568Z,28.151,61.055,50,97,,4.5,18.696,0,0.7,101133.219,100929.094,100809.047,324.172,120.047,28.112,27.932,32.763,0.105,-0.196,0.969,-55,52,127,75752,79300,0
20398,2026-02-02T17:28:01.672Z,28.161,61.055,66,97,,4.5,18.696,0,0.7,101148.641,100930.594,100809.469,339.172,121.125,28.11,27.931,32.771,0.099,-0.203,0.97,37,11,73,76917,79668,0
20474,2026-02-02T17:28:01.748Z,28.172,58.102,66,97,,4.5,18.664,0,0.7,101160.219,100931.703,100808.969,351.25,122.734,28.112,27.932,32.769,0.101,-0.16,0.952,20,13,54,76917,79668,0
20618,2026-02-02T17:28:01.892Z,28.172,58.102,66,97,,4.5,18.664,0,0.7,101163.563,100932.703,100809.391,354.172,123.313,28.112,27.931,32.769,0.101,-0.177,0.963,63,20,69,69847,73367,0
20700,2026-02-02T17:28:01.974Z,28.161,55.722,66,97,,4.5,18.664,0,0.7,101183.469,100934.188,100809.516,373.953,124.672,28.105,27.932,32.774,0.088,-0.19,0.974,32,-52,31,69847,73367,0
20789,2026-02-02T17:28:02.063Z,28.161,53.807,66,97,,4.5,18.696,0,0.7,101196.859,100935.203,100808.875,387.984,126.328,28.104,27.932,32.773,0.095,-0.189,0.966,0,65,8,69847,73367,0
20887,2026-02-02T17:28:02.161Z,28.161,53.807,66,97,,4.5,18.664,0,0.7,101063.859,100934.297,100809.047,254.813,125.25,28.104,27.937,32.772,0.098,-0.197,0.965,94,-38,98,69972,73314,0
21016,2026-02-02T17:28:02.290Z,28.172,52.975,66,97,,4.5,18.696,0,0.7,100976.844,100931.547,100808.922,167.922,122.625,28.11,27.935,32.776,0.115,-0.16,0.961,23,-7,-96,69972,73314,0
21106,2026-02-02T17:28:02.380Z,28.172,55.241,66,97,,4.5,18.728,0,0.7,100919.516,100927.141,100809.422,110.094,117.719,28.109,27.931,32.776,0.099,-0.175,0.965,-3,-37,-67,86084,86242,0
21241,2026-02-02T17:28:02.515Z,28.183,55.241,66,97,,4.5,18.728,0,0.7,100826.625,100924.672,100809.688,16.938,114.984,28.111,27.942,32.781,0.101,-0.161,0.959,-19,7,-69,86084,86242,0
21285,2026-02-02T17:28:02.559Z,28.215,58.491,66,97,,4.5,18.728,0,0.7,100793.688,100922.594,100808.859,-15.172,113.734,28.107,27.938,32.777,0.113,-0.188,0.97,-139,-27,-153,86084,86242,0
21422,2026-02-02T17:28:02.696Z,28.215,62.535,49,98,,4.5,18.728,0,0.7,100734.078,100923.172,100809.703,-75.625,113.469,28.111,27.938,32.783,0.111,-0.155,0.958,146,-39,-13,91870,88717,0
21510,2026-02-02T17:28:02.784Z,28.236,62.535,49,98,,4.5,18.76,0,0.7,100687.266,100922.609,100809.406,-122.141,113.203,28.117,27.936,32.783,0.114,-0.166,0.956,-3,3,61,91870,88717,0
21602,2026-02-02T17:28:02.876Z,28.236,66.083,49,98,,4.5,18.76,0,0.7,100622.938,100920.234,100809.594,-186.656,110.641,28.122,27.941,32.787,0.111,-0.157,0.966,60,-8,7,89067,85433,0
21691,2026-02-02T17:28:02.965Z,28.258,66.083,49,98,,4.5,18.76,0,0.7,100606.469,100918.594,100809.25,-202.781,109.344,28.124,27.936,32.79,0.107,-0.169,0.968,44,21,50,89067,85433,0
21825,2026-02-02T17:28:03.099Z,28.258,68.928,49,98,,4.5,18.792,0,0.7,100609.094,100917.406,100809.016,-199.922,108.391,28.126,27.941,32.791,0.111,-0.167,0.963,-26,7,-68,89067,85433,0
21889,2026-02-02T17:28:03.163Z,28.258,71.049,49,98,,4.5,18.792,0,0.7,100605.266,100915.156,100809.031,-203.766,106.125,28.128,27.942,32.792,0.12,-0.156,0.967,97,-6,106,89593,85844,0
22004,2026-02-02T17:28:03.278Z,28.236,71.049,49,98,,4.5,18.792,0,0.7,100589.344,100913.031,100809.547,-220.203,103.484,28.129,27.94,32.792,0.114,-0.167,0.96,-13,30,-110,89593,85844,0
22094,2026-02-02T17:28:03.368Z,28.258,72.987,49,98,,4.5,18.792,0,0.7,100584.328,100910.906,100808.906,-224.578,102,28.123,27.95,32.793,0.11,-0.146,0.966,17,-14,57,89379,85973,0
22186,2026-02-02T17:28:03.460Z,28.258,74.551,49,98,,4.5,18.76,0,0.7,100583.5,100910.563,100809.031,-225.531,101.531,28.126,27.949,32.796,0.114,-0.163,0.954,-74,65,-73,89379,85973,0
22278,2026-02-02T17:28:03.552Z,28.258,74.551,49,98,,4.5,18.76,0,0.7,100584.063,100909.172,100809.25,-225.188,99.922,28.127,27.945,32.796,0.107,-0.167,0.967,32,-18,52,89379,85973,0
22411,2026-02-02T17:28:03.685Z,28.258,76.008,61,98,,4.5,18.76,0,0.7,100594.891,100908.141,100809.203,-214.313,98.938,28.125,27.947,32.799,0.119,-0.156,0.955,-78,-5,-20,90658,86731,0
22501,2026-02-02T17:28:03.775Z,28.247,76.008,61,98,,4.5,18.76,0,0.7,100613.469,100907.656,100809.031,-195.563,98.625,28.128,27.948,32.803,0.115,-0.158,0.97,25,-50,59,90658,86731,0
22590,2026-02-02T17:28:03.864Z,28.247,76.954,61,98,,4.5,18.728,0,0.7,100662.453,100908.531,100810.141,-147.688,98.391,28.125,27.944,32.806,0.106,-0.16,0.959,-9,4,71,84449,82635,0
22681,2026-02-02T17:28:03.955Z,28.247,75.97,61,98,,4.5,18.696,0,0.7,100719.125,100912.031,100809.25,-90.125,102.781,28.127,27.949,32.807,0.109,-0.194,0.974,-61,26,31,84449,82635,0
22815,2026-02-02T17:28:04.089Z,28.226,75.97,61,98,,4.5,18.696,0,0.7,100795.547,100916.203,100808.953,-13.406,107.25,28.126,27.945,32.806,0.118,-0.131,0.949,31,102,116,84449,82635,0
22908,2026-02-02T17:28:04.182Z,28.194,72.018,61,98,,4.5,18.664,0,0.7,100921.406,100919.469,100808.922,112.484,110.547,28.126,27.946,32.812,0.094,-0.22,0.98,-109,35,30,85810,85482,0
22995,2026-02-02T17:28:04.269Z,28.194,67.669,61,98,,4.5,18.632,0,0.7,101034.938,100923.594,100808.766,226.172,114.828,28.126,27.943,32.81,0.102,-0.153,0.96,-5,57,41,85810,85482,0
23085,2026-02-02T17:28:04.359Z,28.172,67.669,61,98,,4.5,18.632,0,0.7,101074.688,100925.938,100809.078,265.609,116.859,28.117,27.95,32.815,0.111,-0.187,0.953,-55,35,30,82877,84686,0
23220,2026-02-02T17:28:04.494Z,28.172,63.885,61,98,,4.5,18.601,0,0.7,101100.453,100927.875,100809.172,291.281,118.703,28.127,27.949,32.815,0.103,-0.182,0.972,28,-22,67,82877,84686,0
23311,2026-02-02T17:28:04.585Z,28.183,63.885,61,98,,4.5,18.569,0,0.7,101122.406,100929.453,100808.859,313.547,120.594,28.122,27.942,32.817,0.1,-0.174,0.959,-22,63,9,82877,84686,0
23441,2026-02-02T17:28:04.715Z,28.183,60.666,69,98,,4.5,18.569,0,0.7,101133.609,100930.969,100808.547,325.063,122.422,28.123,27.944,32.822,0.097,-0.173,0.969,30,-20,3,75215,77158,0
23490,2026-02-02T17:28:04.764Z,28.183,57.911,69,98,,4.5,18.569,0,0.7,101139.406,100932.422,100808.906,330.5,123.516,28.116,27.946,32.818,0.1,-0.173,0.959,140,-34,54,75215,77158,0
23625,2026-02-02T17:28:04.899Z,28.183,57.911,69,98,,4.5,18.537,0,0.7,101143.391,100932.797,100808.703,334.688,124.094,28.112,27.953,32.822,0.107,-0.179,0.963,10,14,104,73064,75537,0
23717,2026-02-02T17:28:04.991Z,28.172,55.661,69,98,,4.5,18.569,0,0.7,101160.375,100933.406,100809.453,350.922,123.953,28.119,27.947,32.823,0.104,-0.164,0.954,3,5,0,73064,75537,0
23807,2026-02-02T17:28:05.081Z,28.172,53.944,69,98,,4.5,18.569,0,0.7,101153.891,100934.219,100809.313,344.578,124.906,28.12,27.944,32.825,0.109,-0.175,0.955,6,-34,61,73064,75537,0
23934,2026-02-02T17:28:05.208Z,28.183,53.944,69,98,,4.5,18.64,0,0.7,101058.531,100933.438,100809.031,249.5,124.406,28.123,27.949,32.826,0.09,-0.19,0.973,37,-15,77,79690,80419,0
24031,2026-02-02T17:28:05.305Z,28.183,54.692,69,98,,4.5,18.601,0,0.7,100985.109,100930.391,100809.078,176.031,121.313,28.122,27.952,32.823,0.117,-0.177,0.96,45,-54,-47,79690,80419,0
24097,2026-02-02T17:28:05.371Z,28.204,54.692,69,98,,4.5,18.601,0,0.7,100900.813,100929.453,100808.438,92.375,121.016,28.124,27.945,32.83,0.105,-0.147,0.952,32,16,-11,84840,83741,0
24186,2026-02-02T17:28:05.460Z,28.215,57.232,69,98,,4.5,18.601,0,0.7,100828.953,100928.234,100808.813,20.141,119.422,28.126,27.946,32.833,0.109,-0.172,0.964,3,-41,36,84840,83741,0
24300,2026-02-02T17:28:05.574Z,28.215,60.772,69,98,,4.5,18.632,0,0.7,100803.938,100927.734,100808.563,-4.625,119.172,28.125,27.951,32.836,0.126,-0.166,0.957,-18,-20,-46,84840,83741,0
24391,2026-02-02T17:28:05.665Z,28.226,60.772,69,98,,4.5,18.632,0,0.7,100756.906,100926.453,100808.766,-51.859,117.688,28.13,27.95,32.836,0.118,-0.154,0.956,35,3,-14,89301,85671,0
24497,2026-02-02T17:28:05.771Z,28.258,64.099,70,98,,4.5,18.632,0,0.7,100720.391,100925.125,100809.234,-88.844,115.891,28.126,27.95,32.84,0.116,-0.154,0.956,49,34,23,89301,85671,0
24571,2026-02-02T17:28:05.845Z,28.258,64.099,70,98,,4.5,18.664,0,0.7,100712.828,100923.359,100808.609,-95.781,114.75,28.125,27.951,32.842,0.104,-0.192,0.974,-72,11,-1,88124,84707,0
24704,2026-02-02T17:28:05.978Z,28.247,66.784,70,98,,4.5,18.664,0,0.7,100699.063,100921.469,100808.672,-109.609,112.797,28.126,27.953,32.844,0.106,-0.171,0.963,27,-14,23,88124,84707,0
24795,2026-02-02T17:28:06.069Z,28.247,68.883,70,98,,4.5,18.664,0,0.7,100675.953,100918.281,100809.125,-133.172,109.156,28.138,27.951,32.844,0.107,-0.175,0.968,-59,9,2,88124,84707,0
24885,2026-02-02T17:28:06.159Z,28.269,68.883,70,98,,4.5,18.696,0,0.7,100655.875,100916.078,100808.641,-152.766,107.438,28.136,27.955,32.842,0.121,-0.159,0.95,24,44,34,84847,82287,0
24985,2026-02-02T17:28:06.259Z,28.269,70.79,70,98,,4.5,18.696,0,0.7,100635.453,100913.906,100808.906,-173.453,105,28.136,27.955,32.843,0.102,-0.181,0.978,-116,19,-68,84847,82287,0
25109,2026-02-02T17:28:06.383Z,28.269,72.514,70,98,,4.5,18.696,0,0.7,100625.922,100911.875,100809.172,-183.25,102.703,28.138,27.955,32.85,0.081,-0.169,0.981,325,-195,226,83670,81704,0
25201,2026-02-02T17:28:06.475Z,28.279,72.514,70,98,,4.5,18.696,0,0.7,100619.734,100910.094,100808.828,-189.094,101.266,28.142,27.955,32.851,0.123,-0.186,0.96,-238,107,-235,83670,81704,0
25290,2026-02-02T17:28:06.564Z,28.258,74.032,70,98,,4.5,18.656,0,0.7,100623.453,100908.344,100808.75,-185.297,99.594,28.142,27.952,32.856,0.103,-0.146,0.966,83,-47,101,83670,81704,0
25380,2026-02-02T17:28:06.654Z,28.258,74.978,70,98,,4.5,18.664,0,0.7,100631.328,100907.797,100809.109,-177.781,98.688,28.141,27.958,32.853,0.107,-0.177,0.964,-7,-16,4,84003,82129,0
25516,2026-02-02T17:28:06.790Z,28.247,74.978,78,98,,4.5,18.664,0,0.7,100684.453,100907.922,100808.531,-124.078,99.391,28.142,27.957,32.854,0.119,-0.145,0.955,79,16,124,84003,82129,0
25605,2026-02-02T17:28:06.879Z,28.247,74.925,78,98,,4.5,18.664,0,0.7,100729.969,100909.344,100808.891,-78.922,100.453,28.146,27.955,32.858,0.122,-0.155,0.956,-210,72,4,87030,85282,0
25695,2026-02-02T17:28:06.969Z,28.226,74.925,78,98,,4.5,18.632,0,0.7,100768.984,100915.266,100809.188,-40.203,106.078,28.145,27.954,32.857,0.111,-0.16,0.964,-25,55,96,87030,85282,0
25785,2026-02-02T17:28:07.059Z,28.215,71.972,78,98,,4.5,18.601,0,0.7,100886.594,100918.797,100808.406,78.188,110.391,28.142,27.955,32.863,0.101,-0.188,0.978,-102,-22,10,87030,85282,0
25920,2026-02-02T17:28:07.194Z,28.215,67.807,78,98,,4.5,18.601,0,0.7,101001.156,100922.563,100808.938,192.219,113.625,28.132,27.958,32.867,0.112,-0.138,0.948,82,69,55,83371,83338,0
26017,2026-02-02T17:28:07.291Z,28.194,67.807,78,98,,4.5,18.569,0,0.7,101043.859,100925.375,100808.938,234.922,116.438,28.137,27.953,32.865,0.115,-0.188,0.961,-241,36,-70,83371,83338,0
26100,2026-02-02T17:28:07.374Z,28.194,63.984,78,98,,4.5,18.569,0,0.7,101072.906,100927.047,100808.828,264.078,118.219,28.138,27.954,32.865,0.102,-0.187,0.97,122,33,61,86575,86631,0
26191,2026-02-02T17:28:07.465Z,28.194,60.757,78,98,,4.5,18.537,0,0.7,101101.75,100928.938,100809.531,292.219,119.406,28.138,27.958,32.869,0.113,-0.185,0.96,-12,5,-26,86068,83981,0
26283,2026-02-02T17:28:07.557Z,28.194,60.757,78,98,,4.5,18.537,0,0.7,101118.156,100930.969,100808.719,309.438,122.25,28.133,27.956,32.873,0.101,-0.172,0.962,3,-3,45,86068,83981,0
26371,2026-02-02T17:28:07.645Z,28.194,57.965,78,98,,4.5,18.537,0,0.7,101132.625,100931.953,100808.734,323.891,123.219,28.137,27.956,32.869,0.117,-0.169,0.956,22,7,23,80879,82949,0
26506,2026-02-02T17:28:07.780Z,28.194,57.965,77,98,,4.5,18.545,0,0.7,101143.016,100933.5,100809.016,334,124.484,28.13,27.952,32.874,0.107,-0.163,0.964,-45,39,93,80879,82949,0
26596,2026-02-02T17:28:07.870Z,28.183,55.44,77,98,,4.5,18.537,0,0.7,101149.438,100935.219,100809.141,340.297,126.078,28.133,27.957,32.878,0.094,-0.187,0.971,-17,-24,-45,80879,82949,0
26685,2026-02-02T17:28:07.959Z,28.183,53.525,77,98,,4.5,18.537,0,0.7,101190.063,100935.109,100809.266,380.797,125.844,28.132,27.958,32.881,0.1,-0.185,0.961,-52,-17,1,73562,76074,0
26776,2026-02-02T17:28:08.050Z,28.204,53.525,77,98,,4.5,18.537,0,0.7,101206.063,100936.391,100809.406,396.656,126.984,28.133,27.96,32.876,0.104,-0.184,0.962,84,-20,53,73562,76074,0
26909,2026-02-02T17:28:08.183Z,28.215,51.739,77,98,,4.5,18.537,0,0.7,101088.969,100936.172,100808.938,280.031,127.234,28.129,27.96,32.877,0.105,-0.177,0.969,-38,3,-15,73849,75111,0
27005,2026-02-02T17:28:08.279Z,28.215,53.631,77,98,,4.5,18.537,0,0.7,100993.75,100934.547,100808.938,184.813,125.609,28.129,27.957,32.883,0.105,-0.183,0.975,157,-101,49,73849,75111,0
27088,2026-02-02T17:28:08.362Z,28.204,53.631,77,98,,4.5,18.569,0,0.7,100923.031,100931.109,100809.25,113.781,121.859,28.132,27.958,32.881,0.12,-0.164,0.953,25,-47,-92,82619,81049,0
27180,2026-02-02T17:28:08.454Z,28.204,56.63,77,98,,4.5,18.569,0,0.7,100844.422,100929.828,100809.422,35,120.406,28.134,27.96,32.879,0.091,-0.17,0.972,26,-56,-37,82619,81049,0
27315,2026-02-02T17:28:08.589Z,28.226,56.63,77,98,,4.5,18.601,0,0.7,100760.875,100928.688,100809.313,-48.438,119.375,28.145,27.956,32.888,0.129,-0.179,0.945,-1,-12,-1,82619,81049,0
27406,2026-02-02T17:28:08.680Z,28.258,60.437,77,98,,4.5,18.601,0,0.7,100714.063,100927.031,100808.875,-94.813,118.156,28.141,27.962,32.888,0.111,-0.176,0.965,22,-23,-32,82877,80328,0
27544,2026-02-02T17:28:08.818Z,28.258,64,70,98,,4.5,18.632,0,0.7,100670.75,100924.422,100809.516,-138.766,114.906,28.137,27.961,32.889,0.122,-0.172,0.953,-38,44,-8,82877,80328,0
27585,2026-02-02T17:28:08.859Z,28.269,64,70,98,,4.5,18.632,0,0.7,100652.422,100923.359,100809.5,-157.078,113.859,28.141,27.96,32.893,0.106,-0.18,0.965,39,-35,-26,83583,80729,0
27720,2026-02-02T17:28:08.994Z,28.29,67.296,70,98,,4.5,18.664,0,0.7,100645.453,100921.719,100809.078,-163.625,112.641,28.15,27.963,32.892,0.117,-0.174,0.955,13,21,-19,83583,80729,0
27810,2026-02-02T17:28:09.084Z,28.29,69.851,70,98,,4.5,18.664,0,0.7,100627.234,100920.109,100808.781,-181.547,111.328,28.151,27.965,32.892,0.103,-0.184,0.971,17,-18,35,83583,80729,0
27903,2026-02-02T17:28:09.177Z,28.29,69.851,70,98,,4.5,18.632,0,0.7,100619.25,100918.281,100809.547,-190.297,108.734,28.147,27.965,32.899,0.139,-0.176,0.945,63,-17,37,82321,80101,0
28020,2026-02-02T17:28:09.294Z,28.29,71.904,70,98,,4.5,18.664,0,0.7,100608.609,100915.656,100809.313,-200.703,106.344,28.154,27.963,32.897,0.115,-0.177,0.965,23,1,38,82321,80101,0
28129,2026-02-02T17:28:09.403Z,28.29,71.904,70,98,,4.5,18.664,0,0.7,100603.188,100913.953,100809.453,-206.266,104.5,28.154,27.962,32.899,0.111,-0.168,0.965,69,-35,7,84190,81912,0
28216,2026-02-02T17:28:09.490Z,28.269,73.636,70,98,,4.5,18.664,0,0.7,100597.719,100911.75,100809.016,-211.297,102.734,28.156,27.963,32.9,0.117,-0.165,0.961,2,-19,21,84190,81912,0
28306,2026-02-02T17:28:09.580Z,28.269,74.902,70,98,,4.5,18.664,0,0.7,100600.156,100910.516,100809.359,-209.203,101.156,28.159,27.965,32.9,0.116,-0.182,0.962,-108,34,-19,84190,81912,0
28396,2026-02-02T17:28:09.670Z,28.258,74.902,70,98,,4.5,18.664,0,0.7,100620.688,100909.984,100809.047,-188.359,100.938,28.152,27.969,32.906,0.114,-0.169,0.954,-107,33,-71,85871,83743,0
28552,2026-02-02T17:28:09.826Z,28.258,75.772,70,98,,4.5,18.664,0,0.7,100678.422,100910.109,100809.328,-130.906,100.781,28.157,27.961,32.907,0.144,-0.141,0.936,-22,-16,122,85871,83743,0
28577,2026-02-02T17:28:09.851Z,28.258,75.772,70,98,,4.5,18.632,0,0.7,100722.109,100912.844,100808.953,-86.844,103.891,28.152,27.965,32.91,0.132,-0.198,0.962,-121,76,4,77081,77524,0
28667,2026-02-02T17:28:09.941Z,28.247,74.696,70,98,,4.5,18.601,0,0.7,100765.875,100917.641,100808.797,-42.922,108.844,28.155,27.963,32.911,0.111,-0.188,0.963,107,33,101,82577,80436,0
28800,2026-02-02T17:28:10.074Z,28.247,70.927,70,98,,4.5,18.601,0,0.7,100913.531,100921.078,100808.656,104.875,112.422,28.155,27.969,32.919,0.107,-0.187,0.961,24,6,-22,82577,80436,0
28888,2026-02-02T17:28:10.162Z,28.236,70.927,70,98,,4.5,18.601,0,0.7,101012.234,100924.797,100808.891,203.344,115.906,28.163,27.967,32.917,0.11,-0.183,0.961,9,-26,-14,84210,85565,0
28981,2026-02-02T17:28:10.255Z,28.215,66.701,70,98,,4.5,18.601,0,0.7,101054.172,100926.563,100809.328,244.844,117.234,28.153,27.967,32.918,0.127,-0.167,0.953,-120,33,-35,84210,85565,0
29083,2026-02-02T17:28:10.357Z,28.215,63.069,70,98,,4.5,18.569,0,0.7,101089.188,100929.281,100808.672,280.516,120.609,28.148,27.968,32.92,0.116,-0.192,0.961,22,-169,-191,84210,85565,0
29206,2026-02-02T17:28:10.480Z,28.226,63.069,70,98,,4.5,18.537,0,0.7,101114.031,100930.625,100809.031,305,121.594,28.149,27.967,32.923,0.113,-0.194,0.959,-37,12,16,80876,83723,0
29295,2026-02-02T17:28:10.569Z,28.194,60.017,70,98,,4.5,18.537,0,0.7,101127.203,100932.5,100808.766,318.438,123.734,28.148,27.964,32.92,0.094,-0.224,0.982,9,-143,13,80876,83723,0
29386,2026-02-02T17:28:10.660Z,28.194,57.377,70,98,,4.5,18.537,0,0.7,101140.484,100933.344,100808.922,331.563,124.422,28.145,27.972,32.92,0.149,-0.181,0.944,54,63,-30,78053,81518,0
29575,2026-02-02T17:28:10.849Z,28.215,57.377,70,98,,4.5,18.537,0,0.7,101150.594,100934.938,100809.328,341.266,125.609,28.146,27.97,32.927,0.111,-0.21,0.967,-80,-74,35,78053,81518,0
29610,2026-02-02T17:28:10.884Z,28.215,55.043,70,98,,4.5,18.537,0,0.7,101156.266,100935.453,100809.344,346.922,126.109,28.138,27.965,32.926,0.135,-0.174,0.936,-48,101,-19,78053,81518,0
29700,2026-02-02T17:28:10.974Z,28.215,55.043,70,98,,4.5,18.537,0,0.7,101107.391,100935.984,100809.453,297.938,126.531,28.149,27.966,32.929,0.101,-0.217,0.974,91,-48,138,81145,83400,0
